"ID";"COUNTY_KEY";"NAME";"COUNTRY_ID"
10001;"de-bw";"Baden-Württemberg";1
10002;"de-by";"Bayern";1
10003;"de-be";"Berlin";1
10004;"de-br";"Brandenburg";1
10005;"de-hb";"Bremen";1
10006;"de-hh";"Hamburg";1
10007;"de-he";"Hessen";1
10008;"de-mv";"Mecklenburg-Vorpommern";1
10009;"de-ni";"Niedersachsen";1
10010;"de-nw";"Nordrhein-Westfalen";1
10011;"de-rp";"Rheinland-Pfalz";1
10012;"de-sl";"Saarland";1
10013;"de-sn";"Sachsen";1
10014;"de-st";"Sachsen-Anhalt";1
10015;"de-sh";"Schleswig-Holstein";1
10016;"de-th";"Thüringen";1
10101;"at-1";"Burgenland";2
10102;"at-2";"Kärnten";2
10103;"at-3";"Niederösterreich";2
10104;"at-4";"Oberösterreich";2
10105;"at-5";"Salzburg";2
10106;"at-6";"Steiermark";2
10107;"at-7";"Tirol";2
10108;"at-8";"Vorarlberg";2
10109;"at-9";"Wien";2
10201;"ch-zh";"Zürich";3
10202;"ch-be";"Bern";3
10203;"ch-lu";"Luzern";3
10204;"ch-ur";"Uri";3
10205;"ch-sz";"Schwyz";3
10206;"ch-ow";"Obwalden";3
10207;"ch-nw";"Nidwalden";3
10208;"ch-gl";"Glarus";3
10209;"ch-zg";"Zug";3
10210;"ch-fr";"Freiburg";3
10211;"ch-so";"Solothurn";3
10212;"ch-bs";"Basel-Stadt";3
10213;"ch-bl";"Basel-Landschaft";3
10214;"ch-sh";"Schaffhausen";3
10215;"ch-ar";"Appenzell Ausserrhoden";3
10216;"ch-ai";"Appenzell Innerrhoden";3
10217;"ch-sg";"St. Gallen";3
10218;"ch-gr";"Graubünden";3
10219;"ch-ag";"Aargau";3
10220;"ch-tg";"Thurgau";3
10221;"ch-ti";"Tessin";3
10222;"ch-vd";"Waadt";3
10223;"ch-vs";"Wallis";3
10224;"ch-ne";"Neuenburg";3
10225;"ch-ge";"Genf";3
10226;"ch-ju";"Jura";3
100000;"tg";"Thurgau";3
100001;"db";"Dornbirn";2
100002;"bw";"Baden-Württemberg";7
100004;"z";"Zürich";3
100300;"th";"Thueringen";7
